Footprint,Churn_Class,Model_Name,Accuracy,Ingestion_Date,Quarter,Prod_grp
U,REG,LR,92%,01-05-2023,2,BROAD
U,IRR,RF,93%,01-05-2023,2,BROAD
U,MOV,ET,89%,01-05-2023,2,BROAD
U,BP,LR,84%,01-05-2023,2,BROAD
U,REG,LGB,87%,08-05-2023,2,BROAD
U,IRR,RF,93%,08-05-2023,2,BROAD
U,MOV,ET,93%,08-05-2023,2,BROAD
U,BP,LGB,93%,08-05-2023,2,BROAD
U,REG,RF,93%,15-05-2023,2,BROAD
U,IRR,RF,92%,15-05-2023,2,BROAD
U,MOV,ET,98%,15-05-2023,2,BROAD
U,BP,LR,89%,15-05-2023,2,BROAD
U,REG,LGB,92%,22-05-2023,2,BROAD
U,IRR,RF,93%,22-05-2023,2,BROAD
U,MOV,ET,89%,22-05-2023,2,BROAD
U,BP,LR,84%,22-05-2023,2,BROAD
U,REG,LGB,87%,29-05-2023,2,BROAD
U,IRR,RF,93%,29-05-2023,2,BROAD
U,MOV,ET,93%,29-05-2023,2,BROAD
U,BP,LR,93%,29-05-2023,2,BROAD
U,REG,LGB,93%,05-06-2023,2,BROAD
U,IRR,RF,93%,05-06-2023,2,BROAD
U,MOV,ET,93%,05-06-2023,2,BROAD
U,BP,LGB,92%,05-06-2023,2,BROAD
U,REG,RF,98%,12-06-2023,2,BROAD
U,IRR,ET,89%,12-06-2023,2,BROAD
U,MOV,LR,88%,12-06-2023,2,BROAD
U,BP,LGB,98%,12-06-2023,2,BROAD
U,REG,RF,89%,19-06-2023,2,BROAD
U,IRR,ET,92%,19-06-2023,2,BROAD
U,MOV,LR,93%,19-06-2023,2,BROAD
U,BP,RF,89%,19-06-2023,2,BROAD
U,REG,ET,84%,26-06-2023,2,BROAD
U,IRR,LR,87%,26-06-2023,2,BROAD
U,MOV,LGB,93%,26-06-2023,2,BROAD
U,BP,RF,93%,26-06-2023,2,BROAD
U,REG,ET,92%,03-07-2023,3,BROAD
U,IRR,ET,98%,03-07-2023,3,BROAD
U,MOV,LGB,95%,03-07-2023,3,BROAD
U,BP,RF,96%,03-07-2023,3,BROAD
U,REG,ET,94%,10-07-2023,3,BROAD
U,IRR,LR,93%,10-07-2023,3,BROAD
U,MOV,LGB,98%,10-07-2023,3,BROAD
U,BP,RF,89%,10-07-2023,3,BROAD
U,REG,ET,92%,17-07-2023,3,BROAD
U,IRR,LR,93%,17-07-2023,3,BROAD
U,MOV,RF,89%,17-07-2023,3,BROAD
U,BP,ET,84%,17-07-2023,3,BROAD
U,REG,LR,87%,24-07-2023,3,BROAD
U,IRR,LGB,98%,24-07-2023,3,BROAD
U,MOV,RF,89%,24-07-2023,3,BROAD
U,BP,ET,92%,24-07-2023,3,BROAD
U,REG,LR,93%,31-07-2023,3,BROAD
U,IRR,LGB,89%,31-07-2023,3,BROAD
U,MOV,ET,84%,31-07-2023,3,BROAD
U,BP,LGB,87%,31-07-2023,3,BROAD
U,REG,RF,93%,07-08-2023,3,BROAD
U,IRR,LGB,93%,07-08-2023,3,BROAD
U,MOV,ET,98%,07-08-2023,3,BROAD
U,BP,LGB,89%,07-08-2023,3,BROAD
U,REG,RF,92%,14-08-2023,3,BROAD
U,IRR,ET,93%,14-08-2023,3,BROAD
U,MOV,LR,89%,14-08-2023,3,BROAD
U,BP,LGB,84%,14-08-2023,3,BROAD
U,REG,RF,87%,21-08-2023,3,BROAD
U,IRR,ET,98%,21-08-2023,3,BROAD
U,MOV,LR,89%,21-08-2023,3,BROAD
U,BP,RF,92%,21-08-2023,3,BROAD
U,REG,ET,93%,28-08-2023,3,BROAD
U,IRR,LR,89%,28-08-2023,3,BROAD
U,MOV,LGB,84%,28-08-2023,3,BROAD
U,BP,RF,87%,28-08-2023,3,BROAD
U,REG,ET,93%,04-09-2023,3,BROAD
U,IRR,LR,93%,04-09-2023,3,BROAD
U,MOV,LGB,98%,04-09-2023,3,BROAD
U,BP,ET,89%,04-09-2023,3,BROAD
U,REG,LGB,92%,11-09-2023,3,BROAD
U,IRR,RF,93%,11-09-2023,3,BROAD
U,MOV,LGB,89%,11-09-2023,3,BROAD
U,BP,RF,84%,11-09-2023,3,BROAD
U,REG,ET,87%,18-09-2023,3,BROAD
U,IRR,LGB,93%,18-09-2023,3,BROAD
U,MOV,RF,93%,18-09-2023,3,BROAD
U,BP,ET,98%,18-09-2023,3,BROAD
U,REG,LR,89%,25-09-2023,3,BROAD
U,IRR,LGB,92%,25-09-2023,3,BROAD
U,MOV,RF,93%,25-09-2023,3,BROAD
U,BP,ET,89%,25-09-2023,3,BROAD
K,REG,LR,96,02-01-2023,1,BROAD
K,IRR,LGB,89%,02-01-2023,1,BROAD
K,MOV,RF,89%,02-01-2023,1,BROAD
K,BP,ET,89%,02-01-2023,1,BROAD
K,REG,LR,98%,09-01-2023,1,BROAD
K,IRR,LGB,89%,09-01-2023,1,BROAD
K,MOV,LGB,92%,09-01-2023,1,BROAD
K,BP,RF,93%,09-01-2023,1,BROAD
K,REG,ET,89%,16-01-2023,1,BROAD
K,IRR,LGB,84%,16-01-2023,1,BROAD
K,MOV,RF,87%,16-01-2023,1,BROAD
K,BP,ET,93%,16-01-2023,1,BROAD
K,REG,LR,93%,23-01-2023,1,BROAD
K,IRR,LGB,91%,23-01-2023,1,BROAD
K,MOV,LGB,92%,23-01-2023,1,BROAD
K,BP,RF,92%,23-01-2023,1,BROAD
K,REG,ET,98%,30-01-2023,1,BROAD
K,IRR,LR,89%,30-01-2023,1,BROAD
K,MOV,LGB,92%,30-01-2023,1,BROAD
K,BP,RF,93%,30-01-2023,1,BROAD
K,REG,ET,89%,06-02-2023,1,BROAD
K,IRR,LR,84%,06-02-2023,1,BROAD
K,MOV,LGB,87%,06-02-2023,1,BROAD
K,BP,RF,93%,06-02-2023,1,BROAD
K,REG,ET,93%,13-02-2023,1,BROAD
K,IRR,ET,95%,13-02-2023,1,BROAD
K,MOV,LGB,96%,13-02-2023,1,BROAD
K,BP,RF,94%,13-02-2023,1,BROAD
K,REG,ET,93%,20-02-2023,1,BROAD
K,IRR,LR,98%,20-02-2023,1,BROAD
K,MOV,LGB,89%,20-02-2023,1,BROAD
K,BP,RF,92%,20-02-2023,1,BROAD
K,REG,ET,93%,27-02-2023,1,BROAD
K,IRR,LR,89%,27-02-2023,1,BROAD
K,MOV,RF,84%,27-02-2023,1,BROAD
K,BP,ET,87%,27-02-2023,1,BROAD
K,REG,LR,93%,06-03-2023,1,BROAD
K,IRR,LGB,93%,06-03-2023,1,BROAD
K,MOV,RF,89%,06-03-2023,1,BROAD
K,BP,ET,89%,06-03-2023,1,BROAD
K,REG,LR,92%,13-03-2023,1,BROAD
K,IRR,LGB,92%,13-03-2023,1,BROAD
K,MOV,ET,98%,13-03-2023,1,BROAD
K,BP,LGB,89%,13-03-2023,1,BROAD
K,REG,RF,92%,20-03-2023,1,BROAD
K,IRR,LGB,93%,20-03-2023,1,BROAD
K,MOV,RF,89%,20-03-2023,1,BROAD
K,BP,ET,84%,20-03-2023,1,BROAD
K,REG,LR,87%,27-03-2023,1,BROAD
K,IRR,LGB,93%,27-03-2023,1,BROAD
K,MOV,RF,93%,27-03-2023,1,BROAD
K,BP,ET,98%,27-03-2023,1,BROAD
K,REG,RF,95%,03-04-2023,2,BROAD
K,IRR,ET,98%,03-04-2023,2,BROAD
K,MOV,LR,89%,03-04-2023,2,BROAD
K,BP,LGB,92%,03-04-2023,2,BROAD
K,REG,RF,89%,10-04-2023,2,BROAD
K,IRR,ET,89%,10-04-2023,2,BROAD
K,MOV,LGB,92%,10-04-2023,2,BROAD
K,BP,RF,92%,10-04-2023,2,BROAD
K,REG,LR,98%,17-04-2023,2,BROAD
K,IRR,LGB,89%,17-04-2023,2,BROAD
K,MOV,LGB,92%,17-04-2023,2,BROAD
K,BP,RF,93%,17-04-2023,2,BROAD
K,REG,ET,89%,24-04-2023,2,BROAD
K,IRR,LR,84%,24-04-2023,2,BROAD
K,MOV,LGB,87%,24-04-2023,2,BROAD
K,BP,ET,93%,24-04-2023,2,BROAD
K,REG,LGB,93%,01-05-2023,2,BROAD
K,IRR,RF,98%,01-05-2023,2,BROAD
K,MOV,ET,95%,01-05-2023,2,BROAD
K,BP,LR,84%,01-05-2023,2,BROAD
K,REG,LGB,98%,08-05-2023,2,BROAD
K,IRR,ET,89%,08-05-2023,2,BROAD
K,MOV,LGB,92%,08-05-2023,2,BROAD
K,BP,RF,93%,08-05-2023,2,BROAD
K,REG,RF,89%,15-05-2023,2,BROAD
K,IRR,RF,84%,15-05-2023,2,BROAD
K,MOV,ET,87%,15-05-2023,2,BROAD
K,BP,LGB,93%,15-05-2023,2,BROAD
K,REG,RF,93%,22-05-2023,2,BROAD
K,IRR,ET,98%,22-05-2023,2,BROAD
K,MOV,LR,95%,22-05-2023,2,BROAD
K,BP,LGB,98%,22-05-2023,2,BROAD
K,REG,ET,89%,29-05-2023,2,BROAD
K,IRR,LGB,92%,29-05-2023,2,BROAD
K,MOV,RF,89%,29-05-2023,2,BROAD
K,BP,ET,89%,29-05-2023,2,BROAD
K,REG,LR,93%,05-06-2023,2,BROAD
K,IRR,LGB,98%,05-06-2023,2,BROAD
K,MOV,ET,89%,05-06-2023,2,BROAD
K,BP,LGB,92%,05-06-2023,2,BROAD
K,REG,RF,93%,12-06-2023,2,BROAD
K,IRR,ET,89%,12-06-2023,2,BROAD
K,MOV,LR,84%,12-06-2023,2,BROAD
K,BP,LGB,87%,12-06-2023,2,BROAD
K,REG,RF,93%,19-06-2023,2,BROAD
K,IRR,ET,93%,19-06-2023,2,BROAD
K,MOV,LR,98%,19-06-2023,2,BROAD
K,BP,RF,95%,19-06-2023,2,BROAD
K,REG,ET,98%,26-06-2023,2,BROAD
K,IRR,LR,89%,26-06-2023,2,BROAD
K,MOV,LGB,92%,26-06-2023,2,BROAD
K,BP,RF,89%,26-06-2023,2,BROAD
K,REG,ET,89%,03-07-2023,3,BROAD
K,IRR,LR,98%,03-07-2023,3,BROAD
K,MOV,LGB,95%,03-07-2023,3,BROAD
K,BP,ET,96%,03-07-2023,3,BROAD
K,REG,LGB,94%,10-07-2023,3,BROAD
K,IRR,RF,93%,10-07-2023,3,BROAD
K,MOV,ET,98%,10-07-2023,3,BROAD
K,BP,LR,89%,10-07-2023,3,BROAD
K,REG,LGB,92%,17-07-2023,3,BROAD
K,IRR,ET,93%,17-07-2023,3,BROAD
K,MOV,LGB,89%,17-07-2023,3,BROAD
K,BP,RF,93%,17-07-2023,3,BROAD
K,REG,ET,93%,24-07-2023,3,BROAD
K,IRR,LR,98%,24-07-2023,3,BROAD
K,MOV,LGB,95%,24-07-2023,3,BROAD
K,BP,RF,98%,24-07-2023,3,BROAD
K,REG,ET,89%,31-07-2023,3,BROAD
K,IRR,LR,92%,31-07-2023,3,BROAD
K,MOV,RF,89%,31-07-2023,3,BROAD
K,BP,ET,89%,31-07-2023,3,BROAD
K,REG,LR,98%,07-08-2023,3,BROAD
K,IRR,ET,95%,07-08-2023,3,BROAD
K,MOV,LGB,96%,07-08-2023,3,BROAD
K,BP,RF,94%,07-08-2023,3,BROAD
K,REG,ET,93%,14-08-2023,3,BROAD
K,IRR,LR,98%,14-08-2023,3,BROAD
K,MOV,LGB,89%,14-08-2023,3,BROAD
K,BP,RF,92%,14-08-2023,3,BROAD
K,REG,ET,87%,21-08-2023,3,BROAD
K,IRR,LR,98%,21-08-2023,3,BROAD
K,MOV,RF,89%,21-08-2023,3,BROAD
K,BP,ET,92%,21-08-2023,3,BROAD
K,REG,LR,93%,28-08-2023,3,BROAD
K,IRR,LGB,89%,28-08-2023,3,BROAD
K,MOV,RF,84%,28-08-2023,3,BROAD
K,BP,ET,87%,28-08-2023,3,BROAD
K,REG,LR,93%,04-09-2023,3,BROAD
K,IRR,LGB,93%,04-09-2023,3,BROAD
K,MOV,ET,93%,04-09-2023,3,BROAD
K,BP,LGB,98%,04-09-2023,3,BROAD
K,REG,RF,95%,11-09-2023,3,BROAD
K,IRR,LR,98%,11-09-2023,3,BROAD
K,MOV,LGB,89%,11-09-2023,3,BROAD
K,BP,RF,92%,11-09-2023,3,BROAD
K,REG,ET,89%,18-09-2023,3,BROAD
K,IRR,LGB,89%,18-09-2023,3,BROAD
K,MOV,RF,98%,18-09-2023,3,BROAD
K,BP,ET,95%,18-09-2023,3,BROAD
K,REG,LR,96%,25-09-2023,3,BROAD
K,IRR,LGB,94%,25-09-2023,3,BROAD
K,MOV,RF,93%,25-09-2023,3,BROAD
K,BP,ET,98%,25-09-2023,3,BROAD
,,,,,,
,,,,,,
